id,place_name,is_restaurant,categories,average_rating,rate_count,granular_category,latitude,longitude
1022,Saldwich,RESTAURANT,Sandwich|Fast Food|Healthy,4.8,69,restaurants,24.7053044,46.6762694
1023,Shawaya House,RESTAURANT,Arabic|Saudi,4.4,666,restaurants,24.699714,46.671413
1024,Arawla Juices,RESTAURANT,Salads,4.2,8,restaurants,24.71458688,46.67851651
1025,Meat Hala,RESTAURANT,Arabic,4.5,234,restaurants,24.6990533,46.6706652
1026,Indian Bharr,RESTAURANT,Seafood|Indian|Meat,4,29,restaurants,24.7239671,46.6745962
1027,Alkhafeef,RESTAURANT,Grill|Arabic|Bakery,4.5,150,restaurants,24.7239195,46.6746788
1028,La Sani,RESTAURANT,Grill|Asian|Indian,4.3,46,restaurants,24.704912,46.677356
1029,Al Bahsaly,RESTAURANT,Arabic,4.2,67,restaurants,24.729993,46.668048
1030,Jiliya,RESTAURANT,Arabic,4.5,24,restaurants,24.7245921,46.6757344
1031,Italio,RESTAURANT,Italian,3,4,restaurants,24.70114,46.6758882
1032,Hotbun,RESTAURANT,Burgers,0,0,restaurants,24.7297105,46.6701684
1033,Stack'D Burger,RESTAURANT,Sandwich|Arabic|Bakery|Breakfast|Pastries,3.9,30,restaurants,24.7297105,46.6701684
1034,LUFF,RESTAURANT,Desserts|Coffee,4.5,261,restaurants,24.7297105,46.6701684
1035,Shobak,RESTAURANT,Italian|Arabic|Bakery,4.3,170,restaurants,24.7297105,46.6701684
1036,Taqado,RESTAURANT,Sandwich|Mexican|Salads,1,1,restaurants,24.72980551,46.67017913
1037,FRYD,RESTAURANT,Healthy,4.2,139,restaurants,24.7297591,46.6703661
1038,FRN,RESTAURANT,Bakery|Coffee|Breakfast|Pastries,4.3,160,restaurants,24.7297591,46.6703661
1039,IHOP,RESTAURANT,Desserts|Bakery|American|Breakfast,4.5,684,restaurants,24.7297591,46.6703661
1040,The Sub Club,RESTAURANT,Sandwich|American|International,3.9,76,restaurants,24.72978346,46.67034464
1041,Under 500,RESTAURANT,Sandwich|Healthy|Juices,4.7,591,restaurants,24.7298125,46.6703125
1042,Right Bite,RESTAURANT,Healthy,4.6,1005,restaurants,24.7298125,46.6703125
1043,MR BEAST BURGER,RESTAURANT,Fast Food|American|Burgers,4.3,168,restaurants,24.72980539,46.67034464
1044,Wok Kong,RESTAURANT,Asian|Noodles,4.1,591,restaurants,24.729853,46.6705129
1045,City Wok,RESTAURANT,Asian|Noodles,4.1,31,restaurants,24.729853,46.6705129
1046,Spice,RESTAURANT,Indian,4.4,395,restaurants,24.729853,46.6705129
1047,Tawook Nation,RESTAURANT,Sandwich|Grill|Arabic,4.5,300,restaurants,24.729853,46.6705129
1048,Shawarma Nation,RESTAURANT,Sandwich|Fast Food|Arabic|Shawarma,0,0,restaurants,24.7268272,46.6441526
1049,Mashawi Station,RESTAURANT,Fast Food|Grill|Arabic,0,0,restaurants,24.7268272,46.6441526
1050,Mashrou3 Shawarma,RESTAURANT,Sandwich|Fast Food|Arabic|Beverages|Shawarma|Salads,3,19,restaurants,24.7268272,46.6441526
1051,Karam Express,RESTAURANT,Grill|Arabic|Shawarma,4,221,restaurants,24.7268272,46.6441526
1052,Karam Cafe,RESTAURANT,Grill|Arabic|Shawarma,4,8,restaurants,24.7268272,46.6441526
1053,The Chinese Next Door,RESTAURANT,,3.3,12,restaurants,24.7216952,46.6787829
1054,Mad Muscles,RESTAURANT,Healthy,4.8,15,restaurants,24.7216952,46.6787829
1055,Taco Guys,RESTAURANT,Fast Food|Mexican,3.7,24,restaurants,24.7216952,46.6787829
1056,Pressed Juice,RESTAURANT,Juices,3,3,restaurants,24.7216952,46.6787829
1057,Noa,RESTAURANT,Asian,3.9,10,restaurants,24.7216952,46.6787829
1058,WOK OUT,RESTAURANT,Asian,5,4,restaurants,24.7216952,46.6787829
1059,kale-o-gram,RESTAURANT,Healthy|Salads,4.7,27,restaurants,24.7216952,46.6787829
1060,POKE ME,RESTAURANT,Asian|Seafood,4.2,33,restaurants,24.7216952,46.6787829
1061,ricci,RESTAURANT,Italian|Pizza|Pasta,3,6,restaurants,24.7216952,46.6787829
1062,SAL'S,RESTAURANT,Fast Food|Burgers,4.4,14,restaurants,24.7216952,46.6787829
1063,Karam Express,RESTAURANT,Fast Food,4.2,33,restaurants,24.726824,46.643894
1064,C - Kitchen,RESTAURANT,Asian|Italian|Seafood,5,2,restaurants,24.7217135,46.6789497
1065,GLAZED &amp; GRILLED,RESTAURANT,Fast Food|Grill|Seafood,0,0,restaurants,24.7217135,46.6789497
1066,DEAR POKE,RESTAURANT,Fast Food|Healthy|Meat,4,2,restaurants,24.7217135,46.6789497
1067,Let's Green,RESTAURANT,Healthy|Salads,0,0,restaurants,24.7190688,46.6802503
1068,Kunafology,RESTAURANT,Bakery|Ice Cream,0,0,restaurants,24.7189995,46.6803574
1069,NJOY CAKE,RESTAURANT,Bakery,4.2,114,restaurants,24.7190069,46.6803566
1070,Spuds,RESTAURANT,Arabic,3.9,16,restaurants,24.7190069,46.6803566
1071,Cakeology,RESTAURANT,Desserts,4.1,28,restaurants,24.71900526,46.68036833
1072,Let's Thick,RESTAURANT,Pizza,0,0,restaurants,24.7203912,46.6801425
1073,Laffa warq,RESTAURANT,Arabic,4.1,18,restaurants,24.72239078,46.67915534
1074,LETS PIZZA WOOD FIRE,RESTAURANT,American,4.5,325,restaurants,24.7203663,46.6801663
1075,Lets Blac,RESTAURANT,Italian,4.4,14,restaurants,24.7204375,46.6801875
1076,Balqees Throne,RESTAURANT,Arabic,4,11,restaurants,24.7159158,46.6814876
1077,SURVIVAL CAKE,RESTAURANT,Desserts,4.6,81,restaurants,24.72749148,46.64334296
1078,Top Rose,RESTAURANT,Flowers,1,1,flowers_and_plants,24.71574793,46.68207898
1079,Chef's Burger,RESTAURANT,Sandwich|Fast Food|American|Burgers,4.4,1915,restaurants,24.72785,46.6433649
1080,Batter,RESTAURANT,Desserts|Beverages,5,14,restaurants,24.7316061,46.647905
1081,J.co Donuts and Coffee,RESTAURANT,Desserts|Beverages|Coffee|Breakfast,4.8,161,restaurants,24.71651251,46.68260914
1082,Al Ouda Pharmacy,OTHER,Pharmacy,0,0,pharmacies,24.7257248,46.6783998
1083,Pizza Ram,RESTAURANT,Pizza|Pasta|Pastries,4.4,57,restaurants,24.725657,46.678785
1084,2 cups,RESTAURANT,Desserts|Beverages|Coffee,0,0,restaurants,24.7259505,46.6790604
1085,bakkar,RESTAURANT,Fast Food,3.9,525,restaurants,24.7326847,46.6483589
1086,AYA‏‏ Bakery,RESTAURANT,Arabic|Breakfast,3.7,3,restaurants,24.7333078,46.6494377
1087,Bk Boutique‏‏,RESTAURANT,Desserts|Bakery,4.2,261,restaurants,24.7333078,46.6494377
1088,Kastrd,RESTAURANT,Desserts,4.3,30,restaurants,24.7035011,46.6814275
1089,Shawarma Hawari,RESTAURANT,Fast Food|Shawarma,4,158,restaurants,24.731386,46.6455233
1090,Azhar habiba,RESTAURANT,Flowers,4.7,57,flowers_and_plants,24.71083904,46.68385667
1091,Summer Roses,RESTAURANT,Flowers,4.1,27,flowers_and_plants,24.7109665,46.6841074
1092,Bagel Brothers,RESTAURANT,Sandwich|Fast Food|Beverages,4.6,190,restaurants,24.7146152,46.6345647
1093,Kunafa kareema,RESTAURANT,Desserts,4.6,19,restaurants,24.71444295,46.63441496
1094,Burger Castle,RESTAURANT,Sandwich|Fast Food|Burgers,4.1,108,restaurants,24.714657,46.634424
1095,Tasty Toast,RESTAURANT,Sandwich|Fast Food|Breakfast,3.9,31,restaurants,24.71452008,46.63440398
