Accommodation Type ID,Accommodation Type,Province ID,Province,Year,Month ID,Month,Occupancy Rate
1,Hotels,4,Al-Qaseem,2024,202405,2024-05,0.4529836986742369
1,Hotels,4,Al-Qaseem,2024,202406,2024-06,0.3959677934692313
1,Hotels,4,Al-Qaseem,2024,202407,2024-07,0.40934397737649864
1,Hotels,4,Al-Qaseem,2024,202408,2024-08,0.45221942803672727
1,Hotels,4,Al-Qaseem,2024,202409,2024-09,0.435926117916678
1,Hotels,4,Al-Qaseem,2024,202410,2024-10,0.4585601628084457
1,Hotels,4,Al-Qaseem,2024,202411,2024-11,0.5289784986236143
1,Hotels,4,Al-Qaseem,2024,202412,2024-12,0.41091282817901525
1,Hotels,5,Eastern Region,2021,202101,2021-01,0.5426365579283952
1,Hotels,5,Eastern Region,2021,202102,2021-02,0.3955433399963656
1,Hotels,5,Eastern Region,2021,202103,2021-03,0.5152187603082736
1,Hotels,5,Eastern Region,2021,202104,2021-04,0.4086364649772023
1,Hotels,5,Eastern Region,2021,202105,2021-05,0.4763179784720182
1,Hotels,5,Eastern Region,2021,202106,2021-06,0.6195747124079808
1,Hotels,5,Eastern Region,2021,202107,2021-07,0.5844984823071647
1,Hotels,5,Eastern Region,2021,202108,2021-08,0.5540395580596585
1,Hotels,5,Eastern Region,2021,202109,2021-09,0.5504766521247374
1,Hotels,5,Eastern Region,2021,202110,2021-10,0.5849959157208197
1,Hotels,5,Eastern Region,2021,202111,2021-11,0.5742488437313843
1,Hotels,5,Eastern Region,2021,202112,2021-12,0.5750665477635258
1,Hotels,5,Eastern Region,2022,202201,2022-01,0.55305439035567
1,Hotels,5,Eastern Region,2022,202202,2022-02,0.5855385835364872
1,Hotels,5,Eastern Region,2022,202203,2022-03,0.6056276249273519
1,Hotels,5,Eastern Region,2022,202204,2022-04,0.3335540612025102
1,Hotels,5,Eastern Region,2022,202205,2022-05,0.5335107445563768
1,Hotels,5,Eastern Region,2022,202206,2022-06,0.4985258673428022
1,Hotels,5,Eastern Region,2022,202207,2022-07,0.44468744110294406
1,Hotels,5,Eastern Region,2022,202208,2022-08,0.4429585868930436
1,Hotels,5,Eastern Region,2022,202209,2022-09,0.5019240876663592
1,Hotels,5,Eastern Region,2022,202210,2022-10,0.526889223971666
1,Hotels,5,Eastern Region,2022,202211,2022-11,0.5642533785909675
1,Hotels,5,Eastern Region,2022,202212,2022-12,0.48634952486894817
1,Hotels,5,Eastern Region,2023,202301,2023-01,0.49443269082949615
1,Hotels,5,Eastern Region,2023,202302,2023-02,0.5437053416047335
1,Hotels,5,Eastern Region,2023,202303,2023-03,0.5457121122737293
1,Hotels,5,Eastern Region,2023,202304,2023-04,0.4018763259824435
1,Hotels,5,Eastern Region,2023,202305,2023-05,0.5657997468760584
1,Hotels,5,Eastern Region,2023,202306,2023-06,0.484257133486389
1,Hotels,5,Eastern Region,2023,202307,2023-07,0.44345474673780877
1,Hotels,5,Eastern Region,2023,202308,2023-08,0.46199095022624437
1,Hotels,5,Eastern Region,2023,202309,2023-09,0.4934953588889676
1,Hotels,5,Eastern Region,2023,202310,2023-10,0.5542999104683666
1,Hotels,5,Eastern Region,2023,202311,2023-11,0.6360943630633603
1,Hotels,5,Eastern Region,2023,202312,2023-12,0.5237505959203546
1,Hotels,5,Eastern Region,2024,202401,2024-01,0.5663063426570696
1,Hotels,5,Eastern Region,2024,202402,2024-02,0.6415494992463457
1,Hotels,5,Eastern Region,2024,202403,2024-03,0.46299563501398366
1,Hotels,5,Eastern Region,2024,202404,2024-04,0.49109658304951753
1,Hotels,5,Eastern Region,2024,202405,2024-05,0.6077441077441077
1,Hotels,5,Eastern Region,2024,202406,2024-06,0.46009158050221566
1,Hotels,5,Eastern Region,2024,202407,2024-07,0.5115701325889742
1,Hotels,5,Eastern Region,2024,202408,2024-08,0.4955269281410184
1,Hotels,5,Eastern Region,2024,202409,2024-09,0.5405200207162284
1,Hotels,5,Eastern Region,2024,202410,2024-10,0.586830777686468
1,Hotels,5,Eastern Region,2024,202411,2024-11,0.6621551818594483
1,Hotels,5,Eastern Region,2024,202412,2024-12,0.5586852010583983
1,Hotels,6,Aseer,2021,202101,2021-01,0.32820308428120304
1,Hotels,6,Aseer,2021,202102,2021-02,0.3012683578104139
1,Hotels,6,Aseer,2021,202103,2021-03,0.256934340284995
1,Hotels,6,Aseer,2021,202104,2021-04,0.2105405074151244
1,Hotels,6,Aseer,2021,202105,2021-05,0.28501814411612236
1,Hotels,6,Aseer,2021,202106,2021-06,0.37926144421124286
1,Hotels,6,Aseer,2021,202107,2021-07,0.4824236817761332
1,Hotels,6,Aseer,2021,202108,2021-08,0.4756644206020995
1,Hotels,6,Aseer,2021,202109,2021-09,0.338912262383687
1,Hotels,6,Aseer,2021,202110,2021-10,0.29048722617668155
1,Hotels,6,Aseer,2021,202111,2021-11,0.23530486412422927
1,Hotels,6,Aseer,2021,202112,2021-12,0.23647883526557023
1,Hotels,6,Aseer,2022,202201,2022-01,0.25293272683744317
1,Hotels,6,Aseer,2022,202202,2022-02,0.2691376224070759
1,Hotels,6,Aseer,2022,202203,2022-03,0.22496286050919523
1,Hotels,6,Aseer,2022,202204,2022-04,0.1443744106407266
1,Hotels,6,Aseer,2022,202205,2022-05,0.27588172602671823
1,Hotels,6,Aseer,2022,202206,2022-06,0.2110128174016634
1,Hotels,6,Aseer,2022,202207,2022-07,0.311343877657903
1,Hotels,6,Aseer,2022,202208,2022-08,0.3339349030764984
1,Hotels,6,Aseer,2022,202209,2022-09,0.20163170163170163
1,Hotels,6,Aseer,2022,202210,2022-10,0.20887515307014987
1,Hotels,6,Aseer,2022,202211,2022-11,0.20052948906237922
1,Hotels,6,Aseer,2022,202212,2022-12,0.1969150174621653
1,Hotels,6,Aseer,2023,202301,2023-01,0.1990062709113858
1,Hotels,6,Aseer,2023,202302,2023-02,0.19763796909492273
1,Hotels,6,Aseer,2023,202303,2023-03,0.1883858595964649
1,Hotels,6,Aseer,2023,202304,2023-04,0.19022256039566293
1,Hotels,6,Aseer,2023,202305,2023-05,0.3022571645954857
1,Hotels,6,Aseer,2023,202306,2023-06,0.31961972067979133
1,Hotels,6,Aseer,2023,202307,2023-07,0.45860746061546
1,Hotels,6,Aseer,2023,202308,2023-08,0.5114568654325039
1,Hotels,6,Aseer,2023,202309,2023-09,0.35955079247762173
1,Hotels,6,Aseer,2023,202310,2023-10,0.31427908252621806
1,Hotels,6,Aseer,2023,202311,2023-11,0.32918240277636013
1,Hotels,6,Aseer,2023,202312,2023-12,0.2851368944678701
1,Hotels,6,Aseer,2024,202401,2024-01,0.3289646133682831
1,Hotels,6,Aseer,2024,202402,2024-02,0.33270295202952027
1,Hotels,6,Aseer,2024,202403,2024-03,0.2444304865840972
1,Hotels,6,Aseer,2024,202404,2024-04,0.3668876988806619
1,Hotels,6,Aseer,2024,202405,2024-05,0.45965272557252607
1,Hotels,6,Aseer,2024,202406,2024-06,0.4369743958483134
1,Hotels,6,Aseer,2024,202407,2024-07,0.6260714285714286
1,Hotels,6,Aseer,2024,202408,2024-08,0.5621345867247507
1,Hotels,6,Aseer,2024,202409,2024-09,0.40167242530704683
1,Hotels,6,Aseer,2024,202410,2024-10,0.34563030450934135
1,Hotels,6,Aseer,2024,202411,2024-11,0.38566426364572604
1,Hotels,6,Aseer,2024,202412,2024-12,0.3156038411039312
1,Hotels,7,Tabouk,2021,202101,2021-01,0.5404990122192141
1,Hotels,7,Tabouk,2021,202102,2021-02,0.49732756426571645
1,Hotels,7,Tabouk,2021,202103,2021-03,0.5634566605440392
1,Hotels,7,Tabouk,2021,202104,2021-04,0.4780731459532679
1,Hotels,7,Tabouk,2021,202105,2021-05,0.6299180800738433
1,Hotels,7,Tabouk,2021,202106,2021-06,0.6294848351094016
1,Hotels,7,Tabouk,2021,202107,2021-07,0.6223828647925034
1,Hotels,7,Tabouk,2021,202108,2021-08,0.6519904126719467
1,Hotels,7,Tabouk,2021,202109,2021-09,0.665297642056436
1,Hotels,7,Tabouk,2021,202110,2021-10,0.660864261249003
1,Hotels,7,Tabouk,2021,202111,2021-11,0.6666206515737162
1,Hotels,7,Tabouk,2021,202112,2021-12,0.56605841415968
