entertainment_id,name,genre,rating,review_count,city,region,country,best_comment,source,source_id,source_url,data_period,snapshot_date,retrieved_at,is_live
entertainment_00054,ڤوكس سينما ذا سبوت,Movie theater,4.2,724,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00055,Cinépolis Cinemas - Al Jamea Plaza,Movie theater,4.2,1800,Jeddah,Makkah,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00056,Muvi Cinemas | موڤي سينما,Movie theater,4.2,1900,Riyadh,Riyadh,Saudi Arabia,"""But small theater""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00057,Muvi Cinemas | موڤي سينما,Movie theater,4.3,2800,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00058,Muvi Cinemas | موڤي سينما,Movie theater,4.3,1900,Al Ahsa,Eastern Province,Saudi Arabia,"""Very good place, great experience""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00059,Muvi Cinemas | موڤي سينما,Movie theater,4.1,2700,Dammam,Eastern Province,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00060,AMC cinemas,Movie theater,4.2,268,Hafar Al Batin,Eastern Province,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00061,Muvi Cinemas | موڤي سينما,Movie theater,4.4,449,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00062,AMC Dawadmi 3,Movie theater,3.9,82,Al Duwadimi,,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00063,ڤوكس سينما ذا سبوت,Movie theater,4.2,724,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00064,Muvi Cinemas | موڤي سينما,Movie theater,4.0,1300,Taif,Makkah,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00065,Muvi Cinemas,Movie theater,3.9,108,Jeddah,Makkah,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00066,Cinépolis Cinemas سينما سينيبولس,Movie theater,4.0,86,Jazan,Jazan,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00067,Empire Cinemas Jazan,Movie theater,4.1,975,Jazan,Jazan,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00068,VOX cinema,Movie theater,4.1,1000,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00069,Vox Cinemas,Movie theater,4.1,4800,Dammam,Eastern Province,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
