canonical_id,name,entity_types,city,region,latitude,longitude,n_members,n_sources,sources,member_ids
RYD_003236,HOAX,place,Riyadh,Riyadh,24.7068125,46.7080625,1,1,riyadh_places_kaggle,places_04999
RYD_003237,HOMEMADE BREAKFAST,place,Riyadh,Riyadh,24.8204006,46.73044,1,1,riyadh_places_kaggle,places_01685
RYD_003238,HOMEMADE BREAKFAST,place,Riyadh,Riyadh,24.766651,46.66977,1,1,riyadh_places_kaggle,places_06460
RYD_003239,HONEY BUNCH,place,Riyadh,Riyadh,24.7413989,46.778559,1,1,riyadh_places_kaggle,places_05095
RYD_003240,HOUSE OF LA BURGERIA,place,Riyadh,Riyadh,24.8261969,46.728591,1,1,riyadh_places_kaggle,places_03591
RYD_003241,HUE,place,Riyadh,Riyadh,24.8082071,46.6384575,1,1,riyadh_places_kaggle,places_03530
RYD_003242,HUN BURGER,place,Riyadh,Riyadh,24.7259068,46.7619793,1,1,riyadh_places_kaggle,places_05089
RYD_003243,HURGER,place,Riyadh,Riyadh,24.8134387,46.6675282,1,1,riyadh_places_kaggle,places_02900
RYD_003244,HURGER,place,Riyadh,Riyadh,24.75338181,46.61011198,1,1,riyadh_places_kaggle,places_06927
RYD_003245,Divo Sweet,place,Riyadh,Riyadh,24.8250365,46.7741824,2,1,riyadh_places_kaggle,places_04571|places_04572
RYD_003246,HZBR,place,Riyadh,Riyadh,24.7522819,46.6752155,1,1,riyadh_places_kaggle,places_03958
RYD_003247,Haagen Dazs,place,Riyadh,Riyadh,24.6762057,46.6766191,1,1,riyadh_places_kaggle,places_00551
RYD_003248,Haagen Dazs,place,Riyadh,Riyadh,24.7936783,46.6551522,1,1,riyadh_places_kaggle,places_03190
RYD_003249,Haba Burger,place,Riyadh,Riyadh,24.7766494,46.7892475,1,1,riyadh_places_kaggle,places_04938
RYD_003250,Habboh Chapati and Karak,place,Riyadh,Riyadh,24.81506537,46.72645179,1,1,riyadh_places_kaggle,places_02575
RYD_003251,Habibah,place,Riyadh,Riyadh,24.708758,46.688907,1,1,riyadh_places_kaggle,places_01142
RYD_003252,Habibah,place,Riyadh,Riyadh,24.8265021,46.7332303,1,1,riyadh_places_kaggle,places_03707
RYD_003253,Habkat Pie,place,Riyadh,Riyadh,24.56130429,46.77540861,1,1,riyadh_places_kaggle,places_08155
RYD_003254,Hacked Cookies,place,Riyadh,Riyadh,24.7239057,46.6558636,1,1,riyadh_places_kaggle,places_04679
RYD_003255,Hadrami Corner for popular food,place,Riyadh,Riyadh,24.82238488,46.79990304,1,1,riyadh_places_kaggle,places_06618
RYD_003256,Hadrami flavor,place,Riyadh,Riyadh,24.8683728,46.640924,1,1,riyadh_places_kaggle,places_04332
RYD_003257,Haji Shawarma,place,Riyadh,Riyadh,24.7937605,46.654579,1,1,riyadh_places_kaggle,places_03216
RYD_003258,Hajj Jumaah Pies,place,Riyadh,Riyadh,24.84063178,46.75089107,1,1,riyadh_places_kaggle,places_04230
