canonical_id,source,source_entity_id,entity_type,name,city,region
RYD_004647,riyadh_places_kaggle,places_04300,place,Logimat And Karak,Riyadh,Riyadh
RYD_004648,riyadh_places_kaggle,places_08305,place,Logimat And Karak,Riyadh,Riyadh
RYD_004649,riyadh_places_kaggle,places_06136,place,Logimat Bint Al Qadi,Riyadh,Riyadh
RYD_004650,riyadh_places_kaggle,places_01609,place,Logimat Bogshaty,Riyadh,Riyadh
RYD_004651,riyadh_places_kaggle,places_03016,place,Logimat Bogshaty,Riyadh,Riyadh
RYD_004652,riyadh_places_kaggle,places_07521,place,Logimat Bogshaty,Riyadh,Riyadh
RYD_004653,riyadh_places_kaggle,places_07699,place,Logimat Cherry And Dates,Riyadh,Riyadh
RYD_004654,riyadh_places_kaggle,places_08627,place,Logimat Haifa,Riyadh,Riyadh
RYD_004655,riyadh_places_kaggle,places_07876,place,Logimat Khayal,Riyadh,Riyadh
RYD_004656,riyadh_places_kaggle,places_07047,place,Logimat Latheetha,Riyadh,Riyadh
RYD_004657,riyadh_places_kaggle,places_08192,place,Logimat Sanbousah,Riyadh,Riyadh
RYD_004658,riyadh_places_kaggle,places_08193,place,Logimat Sanbousah jadati,Riyadh,Riyadh
RYD_004659,riyadh_places_kaggle,places_05123,place,Logmt Logimat,Riyadh,Riyadh
RYD_004660,riyadh_places_kaggle,places_01148,place,Logmt Loqaimat,Riyadh,Riyadh
RYD_004661,riyadh_places_kaggle,places_02180,place,Logmt Loqaimat,Riyadh,Riyadh
RYD_004662,riyadh_places_kaggle,places_06232,place,Lokma Zouk,Riyadh,Riyadh
RYD_004663,riyadh_places_kaggle,places_02037,place,Lokma and sambosa,Riyadh,Riyadh
RYD_004664,riyadh_places_kaggle,places_02170,place,Lokma and sambosa,Riyadh,Riyadh
RYD_004665,riyadh_places_kaggle,places_02872,place,Lokma and sambosa,Riyadh,Riyadh
RYD_004666,riyadh_places_kaggle,places_07227,place,Lokma and sambosa,Riyadh,Riyadh
RYD_004667,riyadh_places_kaggle,places_04686,place,Lokum Diyari,Riyadh,Riyadh
RYD_004668,riyadh_places_kaggle,places_02079,place,Lolivo,Riyadh,Riyadh
RYD_004669,riyadh_places_kaggle,places_03184,place,Lolivo,Riyadh,Riyadh
RYD_004670,riyadh_places_kaggle,places_05539,place,Lolivo,Riyadh,Riyadh
RYD_004671,riyadh_places_kaggle,places_02670,place,Lolliva Chocolate,Riyadh,Riyadh
RYD_004671,riyadh_places_kaggle,places_02689,place,nash coco,Riyadh,Riyadh
RYD_004671,riyadh_places_kaggle,places_02691,place,3K Chocolate,Riyadh,Riyadh
RYD_004671,riyadh_places_kaggle,places_02693,place,Party And Chocola,Riyadh,Riyadh
RYD_004671,riyadh_places_kaggle,places_02694,place,Glamour Chocolate,Riyadh,Riyadh
RYD_004671,riyadh_places_kaggle,places_02697,place,Savour Chocolate,Riyadh,Riyadh
RYD_004671,riyadh_places_kaggle,places_02705,place,Maison de chocolate,Riyadh,Riyadh
RYD_004671,riyadh_places_kaggle,places_02708,place,Choco Flakes,Riyadh,Riyadh
RYD_004671,riyadh_places_kaggle,places_02714,place,Chocovita,Riyadh,Riyadh
RYD_004671,riyadh_places_kaggle,places_02717,place,Evra chocolate,Riyadh,Riyadh
RYD_004671,riyadh_places_kaggle,places_02721,place,Sugar Coated,Riyadh,Riyadh
RYD_004672,riyadh_places_kaggle,places_05417,place,Lolliva Chocolate,Riyadh,Riyadh
RYD_004672,riyadh_places_kaggle,places_05427,place,Choco Flakes,Riyadh,Riyadh
RYD_004672,riyadh_places_kaggle,places_05434,place,Chocovita,Riyadh,Riyadh
RYD_004672,riyadh_places_kaggle,places_05435,place,Evra chocolate,Riyadh,Riyadh
RYD_004673,riyadh_places_kaggle,places_07331,place,Lolliva Chocolate,Riyadh,Riyadh
RYD_004673,riyadh_places_kaggle,places_07342,place,3K Chocolate,Riyadh,Riyadh
RYD_004673,riyadh_places_kaggle,places_07344,place,Party And Chocola,Riyadh,Riyadh
RYD_004673,riyadh_places_kaggle,places_07347,place,Glamour Chocolate,Riyadh,Riyadh
RYD_004673,riyadh_places_kaggle,places_07348,place,Savour Chocolate,Riyadh,Riyadh
RYD_004673,riyadh_places_kaggle,places_07351,place,Maison de chocolate,Riyadh,Riyadh
RYD_004673,riyadh_places_kaggle,places_07355,place,LEBOHNEUR CHOCOLATE,Riyadh,Riyadh
RYD_004673,riyadh_places_kaggle,places_07362,place,Evra chocolate,Riyadh,Riyadh
RYD_004673,riyadh_places_kaggle,places_07374,place,CHOCOLATE SEASONS,Riyadh,Riyadh
RYD_004673,riyadh_places_kaggle,places_07376,place,Sugar Coated,Riyadh,Riyadh
